prev_open,prev_high,prev_low,prev_close,prev_volume,close_lag_2,close_lag_3,close_lag_5,close_lag_10,volume_lag_2,volume_lag_3,volume_lag_5,volume_lag_10,return_1d_lag,sma_5,sma_10,sma_20,volume_sma_5,volume_sma_10,volume_sma_20,volatility_5d,volatility_20d,d,close
50349.37,51773.88,47500.0,48374.09,82649.72,50349.37,48440.65,45135.66,48891.0,81035.91,64221.06,83055.37,169375.03,-0.0392314739985824,48377.36,47991.103,49980.14,79209.63399999999,91609.911,86055.497,1991.529572715212,3484.3986557629987,2021-03-05 01:00:00,48751.71
48374.09,49448.93,46300.0,48751.71,78192.5,48374.09,50349.37,49587.03,49676.2,82649.72,81035.91,85086.11,91881.21,0.007806245037374371,49100.56999999999,47977.174,50060.041000000005,78237.06,82491.65800000001,86776.717,848.6924749278688,3434.133485433651,2021-03-06 01:00:00,48882.2
48746.81,49200.0,47070.0,48882.2,44399.23,48751.71,48374.09,48440.65,47073.73,78192.5,82649.72,64221.06,83310.67,0.0026766240609816805,48959.604,47897.774,50075.2615,70099.68400000001,77743.45999999999,85309.90449999999,805.1088012680038,3427.8871138573168,2021-03-07 01:00:00,50971.75
48882.2,51450.03,48882.2,50971.75,55235.03,48882.2,48751.71,50349.37,46276.87,44399.23,78192.5,81035.91,109423.2,0.04274664397265271,49465.824,48287.576,50228.294,68302.478,74935.89600000001,84101.74799999999,1128.1539740563635,3394.341335633831,2021-03-08 01:00:00,52375.17
50959.11,52402.78,49274.67,52375.17,66987.36,50971.75,48882.2,48374.09,46106.43,55235.03,44399.23,82649.72,66060.83,0.027533290499148988,49870.984,48897.406,50390.380000000005,65492.768,70692.312,83010.4525,1728.7128913093509,3416.634730104561,2021-03-09 01:00:00,54884.5
52375.18,54895.0,51789.41,54884.5,71656.74,52375.17,50971.75,48751.71,45135.66,66987.36,55235.03,78192.5,83055.37,0.04791067981259056,51173.066000000006,49775.213,50528.61949999999,63294.172000000006,71251.903,82306.10750000001,2567.652449403744,3543.851560976468,2021-03-10 01:00:00,55851.59
54874.67,57387.69,53005.0,55851.59,84749.24,54884.5,52375.17,48882.2,49587.03,71656.74,66987.36,44399.23,85086.11,0.017620457506217546,52593.041999999994,50846.806,50743.569,64605.520000000004,71421.29000000001,83505.667,2842.3282331864725,3734.4781004139522,2021-03-11 01:00:00,57773.16
55851.59,58150.0,54272.82,57773.16,81914.81,55851.59,54884.5,50971.75,48440.65,84749.24,71656.74,55235.03,64221.06,0.034404929206133694,54371.234,51665.419,50836.927,72108.636,71104.16,83618.4185,2718.8581859539486,3890.408911272064,2021-03-12 01:00:00,57221.72
57773.15,58081.51,54962.84,57221.72,73405.41,57773.16,55851.59,52375.17,50349.37,81914.81,84749.24,66987.36,81035.91,-0.009544916705265916,55621.228,52543.526,50905.9535,75742.71200000001,72022.595,83241.2785,2140.392096735712,3994.7201256739904,2021-03-13 01:00:00,61188.39
57221.72,61844.0,56078.23,61188.39,83245.09,57221.72,57773.16,54884.5,48374.09,73405.41,81914.81,71656.74,82649.72,0.06932105501197783,57383.871999999996,53627.428,51094.9445,78994.258,72243.513,84495.19750000001,2410.754246717935,4388.550389099677,2021-03-14 01:00:00,58968.31
61188.38,61724.79,58966.78,58968.31,52601.05,61188.39,57221.72,55851.59,48751.71,83245.09,73405.41,84749.24,78192.5,-0.03628270003508838,58200.634000000005,54686.85,51338.976500000004,75183.12,69238.646,80424.27849999999,2010.9094155701025,4689.128310158293,2021-03-15 01:00:00,55605.2
58976.08,60633.43,54600.0,55605.2,102771.43,58968.31,61188.39,57773.16,48882.2,52601.05,83245.09,81914.81,44399.23,-0.05703249762457163,58151.35599999999,55372.199,51674.686499999996,78787.55799999999,71696.539,77094.09850000001,2084.5356220579433,4744.66244042953,2021-03-16 01:00:00,56900.75
55605.2,56938.29,53271.34,56900.75,77986.69,55605.2,58968.31,57221.72,50971.75,102771.43,52601.05,73405.41,55235.03,0.023299079942163736,57976.873999999996,56174.054000000004,52035.914000000004,78001.934,75055.285,76399.3725,2159.2775614608954,4858.160238083723,2021-03-17 01:00:00,58912.97
56900.74,58974.73,54123.69,58912.97,70421.62,56900.75,55605.2,61188.39,52375.17,77986.69,102771.43,83245.09,66987.36,0.03536368149804714,58315.123999999996,56968.176,52627.876000000004,77405.176,76573.94399999999,75754.92,2143.820841086886,4942.271723916444,2021-03-18 01:00:00,57648.16
58912.97,60129.97,57023.0,57648.16,66580.41,58912.97,56900.75,58968.31,54884.5,70421.62,77986.69,52601.05,71656.74,-0.021469126407987926,57607.078,57495.475,53196.440500000004,74072.24,76533.249,73612.78050000001,1420.071210773791,4825.903833986745,2021-03-19 01:00:00,58030.01
57641.0,59468.0,56270.74,58030.01,52392.65,57648.16,58912.97,55605.2,55851.59,66580.41,70421.62,102771.43,84749.24,0.0066238020432916045,57419.418000000005,57810.026,53792.61949999999,74030.56,74606.84,72929.3715,1246.6200820091733,4636.719380764987,2021-03-20 01:00:00,58102.28
58030.01,59880.0,57820.17,58102.28,44476.94,58030.01,57648.16,56900.75,57773.16,52392.65,66580.41,77986.69,81914.81,0.0012453901007425383,57918.833999999995,58035.094999999994,54440.9505,62371.662,70579.61,71000.45,732.1335891956533,4253.220017528956,2021-03-21 01:00:00,57351.56
